"dummy"|"location_id"|"name"|"type"|"state"|"latitude"|"longitude"|"accuracy"|"description"|"website"
"1"|87350|"Irish american"|"Irish/British Pub"|"NEW YORK"|40.710033|-74.008659|8|NA|""
"2"|138260|"Liam's pub"|"Bar/Tavern"|"NEW YORK"|40.709133|-74.006035|8|NA|""
"3"|108640|"RIO MIXTECO"|"Restaurant"|"NEW YORK"|40.710339|-74.009933|8|NA|""
"4"|177442|"Asia Roma"|"Bar/Tavern"|"NEW YORK"|40.71484|-73.999405|8|NA|""
"5"|146953|"FISH MARKET"|"Restaurant"|"NEW YORK"|40.707008|-74.001976|8|NA|""
"6"|96928|"TRIBECCA TAVERN"|"Bar/Tavern"|"NEW YORK"|40.719704|-74.005524|8|NA|""
"7"|193540|"m21"|"Bar/Tavern"|"NEW YORK"|40.708088|-74.01429|8|NA|""
"8"|156231|"mulberry street bar"|"Bar/Tavern"|"NEW YORK"|40.720024|-73.996895|8|NA|""
"9"|119959|"Murphys Tavern"|"Bar/Tavern"|"NEW YORK"|40.703865|-74.012482|8|NA|""
"10"|122537|"Village Lantern"|"Bar/Tavern"|"NEW YORK"|40.728832|-74.000259|8|NA|""
"11"|187236|"174 RIVINGTON"|"Bar/Tavern"|"NEW YORK"|40.719082|-73.984436|8|NA|""
"12"|118812|"Stillwater"|"Sports Bar"|"NEW YORK"|40.726273|-73.989883|8|NA|""
"13"|103012|"Queen Victoria Bar"|"Bar/Tavern"|"NEW YORK"|40.725941|-73.98922|8|NA|""
"14"|143155|"Boiler Room"|"Bar/Tavern"|"NEW YORK"|40.726128|-73.989403|7|NA|""
"15"|22116|"Barrow's Pub"|"Bar/Tavern"|"NEW YORK"|40.731579|-74.006897|8|NA|""
"16"|153625|"Parkside Lounge"|"Bar/Tavern"|"NEW YORK"|40.721031|-73.983238|8|NA|""
"17"|166471|"Josie Woods Pub"|"Sports Bar"|"NEW YORK"|40.730179|-73.994225|8|NA|""
"18"|193830|"Barrow Street Ale House"|"Bar/Tavern"|"NEW YORK"|40.732513|-74.00251|8|NA|""
"19"|135619|"Formerly Crows"|"Bar/Tavern"|"NEW YORK"|40.732182|-74.000031|8|NA|""
"20"|191256|"EAMONNS PUB"|"Irish/British Pub"|"NEW YORK"|40.6945|-73.994102|8|NA|""
"21"|165919|"BAYARDS ALE HOUSE"|"Irish/British Pub"|"NEW YORK"|40.734329|-74.006378|8|NA|""
"22"|147296|"THE BURGER SHOP"|"Restaurant"|"NEW YORK"|40.727009|-73.983902|8|NA|""
"23"|110376|"Monteros"|"Bar/Tavern"|"NEW YORK"|40.69138|-73.997925|8|NA|""
"24"|186698|"Reservoir Bar"|"Bar/Tavern"|"NEW YORK"|40.733231|-73.99382|8|NA|""
"25"|189623|"O'Keef's"|"Bar/Tavern"|"NEW YORK"|40.692028|-73.991402|8|NA|""
"26"|184031|"BROWNSTONE BAR AND RESTAURANT"|"Bar/Tavern"|"NEW YORK"|40.696251|-73.982864|8|NA|""
"27"|103650|"Cubby Hole"|"Bar/Tavern"|"NEW YORK"|40.737682|-74.003746|8|NA|""
"28"|127015|"WOOD and ALES"|"Bar/Tavern"|"NEW YORK"|40.739159|-74.001595|8|NA|""
"29"|276900|"SIX AVENUE BAR"|"Bar/Tavern"|"NEW YORK"|40.739037|-73.996056|8|NA|""
"30"|148706|"Flight 151"|"Sports Bar"|"NEW YORK"|40.742126|-74.001198|8|"Flight 151 Bar and Restaurant"|""
"31"|125421|"Rolon's Bar"|"Bar/Tavern"|"NEW JERSEY"|40.721104|-74.044395|8|NA|""
"32"|119184|"PJ  RYANS"|"Sports Bar"|"NEW JERSEY"|40.718845|-74.045631|8|NA|""
"33"|182199|"Cooper's Union"|"Bar/Tavern"|"NEW JERSEY"|40.73753|-74.030045|8|NA|""
"34"|111955|"CIBAO DINER EXPRESS"|"Restaurant"|"NEW YORK"|40.697727|-73.97039|8|NA|""
"35"|61457|"Mc Swiggan's"|"Bar/Tavern"|"NEW JERSEY"|40.73774|-74.031509|8|NA|""
"36"|118733|"mulligan's"|"Bar/Tavern"|"NEW JERSEY"|40.737675|-74.032265|8|NA|""
"37"|134335|"Burke's Bar"|"Bar/Tavern"|"NEW JERSEY"|40.731937|-74.041046|8|NA|""
"38"|194108|"Hoboken Bar and Grill"|"Bar/Tavern"|"NEW JERSEY"|40.739826|-74.030579|8|NA|""
"39"|168360|"One Star Bar"|"Bar/Tavern"|"NEW YORK"|40.744564|-73.994118|8|NA|""
"40"|183368|"Louise and Jerry's"|"Bar/Tavern"|"NEW JERSEY"|40.740913|-74.029633|8|NA|""
"41"|126475|"Hog Pit Restaurant"|"Restaurant"|"NEW YORK"|40.744415|-73.990433|8|NA|""
"42"|124484|"Guillo's Bar"|"Bar/Tavern"|"NEW JERSEY"|40.725685|-74.047157|7|NA|""
"43"|24901|"Nag's Head"|"Bar/Tavern"|"NEW JERSEY"|40.738178|-74.035995|8|NA|""
"44"|191399|"Crompton Ale House"|"Irish/British Pub"|"NEW YORK"|40.745815|-73.993118|8|NA|""
"45"|84258|"franks lounge"|"Bar/Tavern"|"NEW YORK"|40.686573|-73.975792|8|NA|""
"46"|169411|"Snafu 28"|"Sports Bar"|"NEW YORK"|40.743797|-73.984604|8|NA|""
"47"|140074|"THIS N THAT"|"Bar/Tavern"|"NEW YORK"|40.718262|-73.960297|8|NA|""
"48"|154863|"Whiskey Rebel"|"Sports Bar"|"NEW YORK"|40.742973|-73.98204|8|NA|""
"49"|3402|"EL COFRE"|"Restaurant"|"NEW YORK"|40.693073|-73.967293|8|NA|""
